序号,批准文号/注册证号,药品名称,剂型,规格,参比制剂,批准日期,生产厂商,上市许可持有人,药物链接
1,国药准字H20193006,来那度胺胶囊,胶囊剂,25mg,否,2019-10-21,正大天晴药业集团股份有限公司,正大天晴药业集团股份有限公司,https://www.cde.org.cn/hymlj/detailPage/e2a35d2a49b67797ad991d9f167d3109
2,国药准字H37020550,盐酸二甲双胍片,片剂,0.25g,否,2019-09-10,蓬莱诺康药业有限公司,,https://www.cde.org.cn/hymlj/detailPage/4ea3fb710b568213568f1f069ca039bd
3,国药准字H20143260,坎地沙坦酯片,片剂,4mg,否,2019-10-21,天地恒一制药股份有限公司,,https://www.cde.org.cn/hymlj/detailPage/29657daf4b24cc8efadb95bd68e2465f
4,国药准字H20066208,布洛芬颗粒,颗粒剂,0.2g,否,2019-10-18,石药集团欧意药业有限公司,石药集团欧意药业有限公司,https://www.cde.org.cn/hymlj/detailPage/cb1bd0770d1ca3a29c69b93c50370758
5,国药准字H20066843,苯磺酸氨氯地平片,片剂,5mg（按C20H25ClN2O5计）,否,2019-10-18,宜昌东阳光长江药业股份有限公司,,https://www.cde.org.cn/hymlj/detailPage/9a8cb5405ae33833d3edebd023ccfa8a
6,国药准字H20184130,盐酸二甲双胍片,片剂,0.25g,否,2019-10-21,哈药集团制药六厂,,https://www.cde.org.cn/hymlj/detailPage/639e1d37d0e9f36fac7c11942d3e456d
7,国药准字H20051983,非那雄胺片,片剂,5mg,否,2019-09-18,华润赛科药业有限责任公司,,https://www.cde.org.cn/hymlj/detailPage/b3dba11fc6445899c30a995e1024a631
8,国药准字H20067966,头孢呋辛酯片,片剂,按C16H16N4O8S计0.5g,否,2019-09-30,国药集团汕头金石制药有限公司,国药集团汕头金石制药有限公司,https://www.cde.org.cn/hymlj/detailPage/27004a6031d300fccde66ef45d8c4ad0
9,国药准字H20093622,蒙脱石散,散剂,每袋含蒙脱石3克,否,2019-10-18,北京韩美药品有限公司,,https://www.cde.org.cn/hymlj/detailPage/eb041ac044f1d120b7067a34f2fe21ef
10,国药准字H13020791,头孢氨苄胶囊,胶囊剂,按C16H17N3O4S计0.25g,否,2019-10-23,石药集团欧意药业有限公司,石药集团欧意药业有限公司,https://www.cde.org.cn/hymlj/detailPage/f34ad7f3b03e51d00ecb2c23e2086e8f
11,国药准字H20193225,利伐沙班片,片剂,10mg,否,2019-08-02,正大天晴药业集团股份有限公司,正大天晴药业集团股份有限公司,https://www.cde.org.cn/hymlj/detailPage/ce6518b0e4636b097ce86fa34d22f1e8
12,国药准字H13020795,盐酸克林霉素胶囊,胶囊剂,0.15g（按C18H33ClN2O5S计）,否,2019-10-23,石药集团欧意药业有限公司,石药集团欧意药业有限公司,https://www.cde.org.cn/hymlj/detailPage/07c7e7adcc16fd22dff40abd584af030
13,国药准字H13020790,头孢氨苄胶囊,胶囊剂,按C16H17N3O4S计 0.125g,否,2019-10-23,石药集团欧意药业有限公司,石药集团欧意药业有限公司,https://www.cde.org.cn/hymlj/detailPage/eb738bed1e065ba10534d0e545e24e9c
14,国药准字H20070269,盐酸文拉法辛缓释片,片剂,75mg（按C17H27NO2计）,否,2019-10-23,成都康弘药业集团股份有限公司,成都康弘药业集团股份有限公司,https://www.cde.org.cn/hymlj/detailPage/ed4867c85b76b950b57e777efcf6d4ef
15,国药准字H20143163,左乙拉西坦片,片剂,0.25g,否,2019-10-28,深圳信立泰药业股份有限公司,深圳信立泰药业股份有限公司,https://www.cde.org.cn/hymlj/detailPage/1c5c3d82dad48b21bc837a19e9a3074d
16,国药准字H20074084,苯磺酸氨氯地平片,片剂,5mg,否,2019-10-23,乐普药业（北京）有限责任公司,,https://www.cde.org.cn/hymlj/detailPage/37a91fc5e9202566f13662d92353489f
17,国药准字H20055226,布洛芬颗粒,颗粒剂,0.1g,否,2019-10-18,扬子江药业集团江苏制药股份有限公司,,https://www.cde.org.cn/hymlj/detailPage/0882e3c649cf35c8890a46bc3fd89b6f
18,国药准字H10980305,马来酸依那普利片,片剂,10mg,否,2019-10-28,石药集团欧意药业有限公司,石药集团欧意药业有限公司,https://www.cde.org.cn/hymlj/detailPage/605dee68d9d22e6d5676a74b4cb3dba3
19,国药准字H33021602,盐酸乙胺丁醇片,片剂,0.25g,否,2019-10-23,杭州民生药业有限公司,杭州民生药业有限公司,https://www.cde.org.cn/hymlj/detailPage/5a43cfcc4b33f55033e29ee7b2d6561d
