idCode,hxcf,hxcfen,ypmc,ypmcen,slh,jx,gytj,gg,cbzj,pzwh,scpzrq,ssxkzcyr,sccs,ssxszt,sllb,jpxzl,smsContent,smsAttname,source_url,cid,cas
e2a35d2a49b67797ad991d9f167d3109,来那度胺,Lenalidomide,来那度胺胶囊,Lenalidomide Capsules,CYHB1950182,胶囊剂,口服,25mg,否,国药准字H20193006,2019-10-21,正大天晴药业集团股份有限公司,正大天晴药业集团股份有限公司,上市销售中,通过质量和疗效一致性评价的药品,L04AX04 ,5c6568a6c6deb335fcfeb9a79e790e93,国药准字H20193006_来那度胺胶囊.pdf,https://www.cde.org.cn/hymlj/detailPage/e2a35d2a49b67797ad991d9f167d3109,216326,191732-72-6
4ea3fb710b568213568f1f069ca039bd,盐酸二甲双胍,Metformin Hydrochloride,盐酸二甲双胍片,Metformin Hydrochloride Tablets,CYHB1850309,片剂,口服,0.25g,否,国药准字H37020550,2019-09-10,,蓬莱诺康药业有限公司,新批准暂未销售,通过质量和疗效一致性评价的药品,A10BA02,f83a27b7934604cd80b99f4937d1c9d6,国药准字H37020550_盐酸二甲双胍片.pdf,https://www.cde.org.cn/hymlj/detailPage/4ea3fb710b568213568f1f069ca039bd,14219,1115-70-4
29657daf4b24cc8efadb95bd68e2465f,坎地沙坦酯,Candesartan Cilexetil,坎地沙坦酯片,Candesartan Cilexetil Tablets,CYHB1850351,片剂,口服,4mg,否,国药准字H20143260,2019-10-21,,天地恒一制药股份有限公司,上市销售中,通过质量和疗效一致性评价的药品,C09CA06 ,9db02be28434b90867ad4eaf103c3dfc,国药准字H20143260_坎地沙坦酯片.pdf,https://www.cde.org.cn/hymlj/detailPage/29657daf4b24cc8efadb95bd68e2465f,2540,145040-37-5
cb1bd0770d1ca3a29c69b93c50370758,布洛芬,Ibuprofen,布洛芬颗粒,Ibuprofen Granules,CYHB1850109,颗粒剂,口服,0.2g,否,国药准字H20066208,2019-10-18,石药集团欧意药业有限公司,石药集团欧意药业有限公司,上市销售中,通过质量和疗效一致性评价的药品,M01AE01,281068a6629e2da2ef7a4a7a10e08077,国药准字H20066208_布洛芬颗粒.pdf,https://www.cde.org.cn/hymlj/detailPage/cb1bd0770d1ca3a29c69b93c50370758,3672,15687-27-1
9a8cb5405ae33833d3edebd023ccfa8a,苯磺酸氨氯地平,Amlodipine Besylate ,苯磺酸氨氯地平片,Amlodipine Besylate Tablets,CYHB1850286,片剂,口服,5mg（按C20H25ClN2O5计）,否,国药准字H20066843,2019-10-18,,宜昌东阳光长江药业股份有限公司  ,上市销售中,通过质量和疗效一致性评价的药品,C08CA01 ,3f963d3a7ef427eb3a7b5396452d0bd2,国药准字H20066843_苯磺酸氨氯地平片.pdf,https://www.cde.org.cn/hymlj/detailPage/9a8cb5405ae33833d3edebd023ccfa8a,60496,111470-99-6
639e1d37d0e9f36fac7c11942d3e456d,盐酸二甲双胍,Metformin Hydrochloride,盐酸二甲双胍片,Metformin Hydrochloride Tablets,CYHB1950101,片剂,口服,0.25g,否,国药准字H20184130,2019-10-21,,哈药集团制药六厂,新批准暂未销售,通过质量和疗效一致性评价的药品,A10BA02,53940e8dd9d6caa136c6af6d8f8c6835,国药准字H20184130_盐酸二甲双胍片.pdf,https://www.cde.org.cn/hymlj/detailPage/639e1d37d0e9f36fac7c11942d3e456d,14219,1115-70-4
b3dba11fc6445899c30a995e1024a631,非那雄胺,Finasteride ,非那雄胺片,Finasteride Tablets,CYHB1850429,片剂,口服,5mg,否,国药准字H20051983,2019-09-18,,华润赛科药业有限责任公司,上市销售中,通过质量和疗效一致性评价的药品,G04CB01 ,ed55dca6b89c6bd7d4d2352db746c841,国药准字H20051983_非那雄胺片.pdf,https://www.cde.org.cn/hymlj/detailPage/b3dba11fc6445899c30a995e1024a631,57363,98319-26-7
27004a6031d300fccde66ef45d8c4ad0,头孢呋辛酯,Cefuroxime Axetil,头孢呋辛酯片,Cefuroxime Axetil Tablets,CYHB1850297,片剂,口服,按C16H16N4O8S计0.5g,否,国药准字H20067966,2019-09-30,国药集团汕头金石制药有限公司,国药集团汕头金石制药有限公司,上市销售中,通过质量和疗效一致性评价的药品,J01DC02 ,3c567556e8bf654f691b119901a8c819,国药准字H20067966_头孢呋辛酯片.pdf,https://www.cde.org.cn/hymlj/detailPage/27004a6031d300fccde66ef45d8c4ad0,6321416,64544-07-6
eb041ac044f1d120b7067a34f2fe21ef,蒙脱石,Montmorillonite,蒙脱石散,Montmorillonite Powder,CYHB1840056,散剂,口服,每袋含蒙脱石3克,否,国药准字H20093622,2019-10-18,,北京韩美药品有限公司,上市销售中,通过质量和疗效一致性评价的药品,A07BC05 ,802af57127a7b3881c723b2d9b9d11f0,国药准字H20093622_蒙脱石散.pdf,https://www.cde.org.cn/hymlj/detailPage/eb041ac044f1d120b7067a34f2fe21ef,71586775,110070-78-5
f34ad7f3b03e51d00ecb2c23e2086e8f,头孢氨苄,Cefalexin,头孢氨苄胶囊,Cefalexin Capsules,CYHB1850450,胶囊剂,口服,按C16H17N3O4S计0.25g,否,国药准字H13020791,2019-10-23,石药集团欧意药业有限公司,石药集团欧意药业有限公司,上市销售中,通过质量和疗效一致性评价的药品,J01DB01,1a6a66407833a5d3bf01b4cf2fe6fab6,国药准字H13020791_头孢氨苄胶囊.pdf,https://www.cde.org.cn/hymlj/detailPage/f34ad7f3b03e51d00ecb2c23e2086e8f,27447,15686-71-2
ce6518b0e4636b097ce86fa34d22f1e8,利伐沙班,Rivaroxaban,利伐沙班片,Rivaroxaban Tablets,CYHS1700574,片剂,口服,10mg,否,国药准字H20193225,2019-08-02,正大天晴药业集团股份有限公司 ,正大天晴药业集团股份有限公司 ,新批准暂未销售,按化学药品新注册分类批准的仿制药,B01AF01,,,https://www.cde.org.cn/hymlj/detailPage/ce6518b0e4636b097ce86fa34d22f1e8,9875401,366789-02-8
07c7e7adcc16fd22dff40abd584af030,盐酸克林霉素,Clindamycin Hydrochloride,盐酸克林霉素胶囊,Clindamycin Hydrochloride Capsules,CYHB1850410,胶囊剂,口服,0.15g（按C18H33ClN2O5S计） ,否,国药准字H13020795,2019-10-23,石药集团欧意药业有限公司,石药集团欧意药业有限公司,新批准暂未销售,通过质量和疗效一致性评价的药品,J01FF01 ,bb5fbd1880b4256c5d7405b2d5105202,国药准字H13020795_盐酸克林霉素胶囊.pdf,https://www.cde.org.cn/hymlj/detailPage/07c7e7adcc16fd22dff40abd584af030,16051951,21462-39-5
eb738bed1e065ba10534d0e545e24e9c,头孢氨苄,Cefalexin,头孢氨苄胶囊,Cefalexin Capsules,CYHB1850449,胶囊剂,口服,按C16H17N3O4S计 0.125g ,否,国药准字H13020790,2019-10-23,石药集团欧意药业有限公司,石药集团欧意药业有限公司,新批准暂未销售,通过质量和疗效一致性评价的药品,J01DB01 ,4a99f65e1d6161f382d63217fefc36ae,国药准字H13020790_头孢氨苄胶囊.pdf,https://www.cde.org.cn/hymlj/detailPage/eb738bed1e065ba10534d0e545e24e9c,27447,15686-71-2
ed4867c85b76b950b57e777efcf6d4ef,盐酸文拉法辛,Venlafaxine Hydrochloride,盐酸文拉法辛缓释片,Venlafaxine Hydrochloride Sustained-release Tablets,CYHB1850451,片剂,口服,75mg（按C17H27NO2计） ,否,国药准字H20070269,2019-10-23,成都康弘药业集团股份有限公司,成都康弘药业集团股份有限公司,上市销售中,通过质量和疗效一致性评价的药品,N06AX16 ,fc0271ce2ed9780588fbe9c9a90aa128,国药准字H20070269_盐酸文拉法辛缓释片.pdf,https://www.cde.org.cn/hymlj/detailPage/ed4867c85b76b950b57e777efcf6d4ef,62923,99300-78-4
1c5c3d82dad48b21bc837a19e9a3074d,左乙拉西坦,Levetiracetam,左乙拉西坦片,Levetiracetam Tablets,CYHB1850151,片剂,口服,0.25g,否,国药准字H20143163,2019-10-28,深圳信立泰药业股份有限公司,深圳信立泰药业股份有限公司,上市销售中,通过质量和疗效一致性评价的药品,N03AX14 ,,,https://www.cde.org.cn/hymlj/detailPage/1c5c3d82dad48b21bc837a19e9a3074d,5284583,102767-28-2
37a91fc5e9202566f13662d92353489f,苯磺酸氨氯地平,Amlodipine Besilate ,苯磺酸氨氯地平片,Amlodipine Besilate Tablets,CYHB1850250,片剂,口服,5mg,否,国药准字H20074084,2019-10-23,,乐普药业（北京）有限责任公司 ,上市销售中,通过质量和疗效一致性评价的药品,C08CA01 ,e3615c06744c60642d5573038fcf102d,国药准字H20074084_苯磺酸氨氯地平片.pdf,https://www.cde.org.cn/hymlj/detailPage/37a91fc5e9202566f13662d92353489f,60496,111470-99-6
0882e3c649cf35c8890a46bc3fd89b6f,布洛芬,Ibuprofen,布洛芬颗粒,Ibuprofen Granules,CYHB1850182,颗粒剂,口服,0.1g,否,国药准字H20055226,2019-10-18,,扬子江药业集团江苏制药股份有限公司,新批准暂未销售,通过质量和疗效一致性评价的药品,M01AE01 ,4001fdfd76e0ab0a070449f2e9737782,国药准字H20055226_布洛芬颗粒.pdf,https://www.cde.org.cn/hymlj/detailPage/0882e3c649cf35c8890a46bc3fd89b6f,3672,15687-27-1
605dee68d9d22e6d5676a74b4cb3dba3,马来酸依那普利,Enalapril Maleate,马来酸依那普利片,Enalapril Maleate Tablets,CYHB1750033,片剂,口服,10mg,否,国药准字H10980305,2019-10-28,石药集团欧意药业有限公司,石药集团欧意药业有限公司,上市销售中,通过质量和疗效一致性评价的药品,C09AA02 ,482e06bf4de70a8c2a51f90388a57d96,国药准字H10980305_马来酸依那普利片.pdf,https://www.cde.org.cn/hymlj/detailPage/605dee68d9d22e6d5676a74b4cb3dba3,5388961,76095-16-4
5a43cfcc4b33f55033e29ee7b2d6561d,盐酸乙胺丁醇,Ethambutol Hydrochloride,盐酸乙胺丁醇片,Ethambutol Hydrochloride Tablets ,CYHB1850412,片剂,口服,0.25g,否,国药准字H33021602,2019-10-23,杭州民生药业有限公司,杭州民生药业有限公司,新批准暂未销售,通过质量和疗效一致性评价的药品,J04AK02 ,4480e351afa8065f194a4985c0103c1c,国药准字H33021602_盐酸乙胺丁醇片.pdf,https://www.cde.org.cn/hymlj/detailPage/5a43cfcc4b33f55033e29ee7b2d6561d,14051,1070-11-7
