1.疏水参数计算参考值（XlogP）,10.同位素原子数量,11.确定原子立构中心数量,12.不确定原子立构中心数量,13.确定化学键立构中心数量,14.不确定化学键立构中心数量,15.共价键单元数量,2.氢键供体数量,3.氢键受体数量,4.可旋转化学键数量,5.互变异构体数量,6.拓扑分子极性表面积,7.重原子数量,8.表面电荷,9.复杂度,LogP,PSA,RTECS号,Summary,WGK德国,不确定化学键立构中心数量,不确定原子立构中心数量,个人防护装备,中文别名,中文名,中文概述,互变异构体数量,体内研究,体外研究,信号词,储存条件,共价键单元数量,分子式,分子结构,分子量,动物实验,包装等级,危害声明,危害码 (欧洲),危险品运输编码,危险类别,参考文献,可旋转化学键数量,同位素原子数量,复杂度,外观性状,安全声明 (欧洲),密度,折射率,拓扑分子极性表面积（TPSA）,描述,更多,检验检疫,氢键供体数量,氢键受体数量,水溶解性,沸点,海关编码,熔点,申报要素,疏水参数计算参考值（XlogP）,监管条件,相关类别,确定化学键立构中心数量,确定原子立构中心数量,稳定性,符号,精确质量,细胞实验,英文别名,英文名,药物名称,蒸汽压,表面电荷,警示性声明,计算化学,重原子数量,闪点,靶点,风险声明 (欧洲)
,,,,,,,,,,,,,,,2.98110,35.53000,AJ3000000,"2916399090 other aromatic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives VAT:17.0% Tax rebate rate:9.0% Supervision conditions:none MFN tariff:6.5% General tariff:30.0%",3,0,0,Eyeshields;Gloves;half-mask respirator (US);multi-purpose combination respirator cartridge (US),,苯乙酸茴香酯,2916399090 其他芳香一元羧酸. 增值税率:17.0% 退税率:9.0% 监管条件:无 最惠国关税:6.5% 普通关税:30.0%,,,,,库房通风低温干燥,1,C16H16O3,1、摩尔折射率：73.372、摩尔体积（cm3/mol）：226.93、等张比容（90.2K）：577.24、表面张力（dyne/cm）：41.85、介电常数：无可用的6、极化率（10-24cm3）：29.087、单一同位素质量：256.109944 Da8、标称质量：256 Da9、平均质量：256.2964 Da,256.29600,,,,Xi: Irritant;,NONH for all modes of transport,,,6,0,263,液体,S26;S36,1.129g/cm3,n20/D 1.559,35.5,,"1. 性状：未确定2. 密度（g/mL,25℃）：1.1283. 相对蒸汽密度（g/mL,空气=1）：未确定4. 熔点（ºC）：未确定5. 沸点（ºC,常压）：3706. 沸点（ºC,2.66kPa）：未确定7. 折射率：n  20/D  1.5598. 闪点（ºF）：>2309. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（hPa,20ºC）：未确定12. 饱和蒸气压（kPa,20 ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（MPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：未确定",,0,3,organic solvents: soluble(lit.),374.8ºC at 760mmHg,2916399090,,"品名, 成分含量, 用途, 丙烯酸、丙烯酸盐或酯应报明包装",3,,,0,0,,,256.11000,,更多,(4-methoxyphenyl)methyl 2-phenylacetate,102-17-0,8.13E-06mmHg at 25°C,0,,1、 疏水参数计算参考值（XlogP）：32、 氢键供体数量：03、 氢键受体数量：34、 可旋转化学键数量：65、 互变异构体数量：6、 拓扑分子极性表面积（TPSA）：35.57、 重原子数量：198、 表面电荷：09、 复杂度：26310、 同位素原子数量：011、 确定原子立构中心数量：012、 不确定原子立构中心数量：013、 确定化学键立构中心数量：014、 不确定化学键立构中心数量：015、 共价键单元数量：1,19,157.2ºC,,36/37/38
1.6,0,0,0,0,0,1,2,2,3,无,,11,0,106,1.47220,32.26000,,2921499090 other aromatic monoamines and their derivatives; salts thereof VAT:17.0% Tax rebate rate:9.0% Supervision conditions:none MFN tariff:6.5% General tariff:30.0%,,,,,,N-羟乙基-间甲基苯胺,2921499090 其他芳香单胺及衍生物及它们的盐. 增值税率:17.0% 退税率:9.0% 监管条件:无 最惠国关税:6.5% 普通关税:30.0%,,,,,2-8°C,,C9H13NO,1、 摩尔折射率：46.852、 摩尔体积（cm3/mol）：139.13、 等张比容（90.2K）：360.34、 表面张力（dyne/cm）：44.95、 极化率（10-24cm3）：18.57,151.20600,,,,,,,,,,,,,1.086g/cm3,1.588,,,,,,,,302.5ºC at 760mmHg,2921499090,156-159 °C(Press: 10 Torr),"品名, 成分含量, 用途",,,,,,,,151.10000,,更多,2-(3-methylanilino)ethanol,102-41-0,0.000434mmHg at 25°C,,,1.疏水参数计算参考值（XlogP）:1.62.氢键供体数量:23.氢键受体数量:24.可旋转化学键数量:35.互变异构体数量:无6.拓扑分子极性表面积32.37.重原子数量:118.表面电荷:09.复杂度:10610.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,146.6ºC,,
1.4,0,0,1,0,0,1,2,2,3,无,,11,0,99.7,1.68040,32.26000,,"2922199090. other amino-alcohols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:6.5%. General tariff:30.0%",,,,,,1-环己基氨基-2-丙醇,2922199090. 其他氨基醇及其醚，酯和它们的盐（但含一种以上含氧基的除外）. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:6.5%. 普通关税:30.0%,,,,,,,C9H19NO,,157.25300,,,,,,,,,,,,,0.95g/cm3,1.478,,,,,,,,275.4ºC at 760mmHg,2922199090,,"品名, 成分含量, 用途, 乙醇胺及其盐应报明色度, 乙醇胺及其盐应报明包装",,,,,,,,157.14700,,更多,1-(cyclohexylamino)propan-2-ol,103-00-4,0.000641mmHg at 25°C,,,1.疏水参数计算参考值（XlogP）:1.42.氢键供体数量:23.氢键受体数量:24.可旋转化学键数量:35.互变异构体数量:无6.拓扑分子极性表面积32.37.重原子数量:118.表面电荷:09.复杂度:99.710.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:113.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,107.1ºC,,
无,0,0,0,0,0,1,1,1,8,2,,16,0,148,6.19,20.23000,SM5650000,2907131000 4-nonylphenol。supervision conditions:x(environment control release notice for poisonous chemicals)。VAT:17.0%。tax rebate rate:9.0%。MFN tarrif:5.5%。general tariff:30.0%,3,,,Eyeshields;Faceshields;full-face particle respirator type N100 (US);Gloves;respirator cartridge type N100 (US);type P1 (EN143) respirator filter;type P3 (EN 143) respirator cartridges,4-壬基苯酚,对壬基酚,2907131000 壬基酚、对壬基酚、支链-4-壬基酚〔包括4-壬基苯酚、壬基苯酚〕。监管条件:X(有毒化学品环境管理放行通知单)。增值税率:17.0%。退税率:9.0%。最低关税:5.5%。普通关税:30.0%,,,,Danger,储存于阴凉、通风的库房。远离火种、热源、水源。保持容器密封。应与氧化剂分开存放，切忌混储。配备相应品种和数量的消防器材。储区应备有合适的材料收容泄漏物。,,C15H24O,1、 摩尔折射率：70.112、 摩尔体积（cm3/mol）：236.23、 等张比容（90.2K）：577.34、 表面张力（dyne/cm）：35.65、 介电常数：6、 偶极距（10-24cm3）：7、 极化率：27.79,220.350,,III,H302-H314-H361-H411,C: Corrosive;,UN 3145 8/PG 2,8,,,,,黏的无色液体带有一种像酚一样的气味,S26-S36/37/39-S45-S61-S60,0.9±0.1 g/cm3,1.505,,,"1. 性状：浅黄色黏稠液体，略有苯酚气味。2. 相对密度（g/mL,20/20℃）：0.9503. 相对蒸汽密度（g/mL,空气=1）：未确定4. 熔点（ºC）：42.55. 沸点（ºC,常压）：180.5206. 常温折射率（n25）：1.492045.57. 折射率：1.5138. 闪点（ºC）：110(开杯)9. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）: 未确定11. 蒸气压（mmHg,ºC）：未确定12. 饱和蒸气压（kPa, ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：溶于苯、苯胺、庚烷、脂肪醇、乙二醇等，几乎不溶于水或稀碱溶液。",,,,,330.6±11.0 °C at 760 mmHg,2907131000,43-44°C,"品名, 成分含量, 用途, 原产地证据文件及编号(例 附原产地证书, 原产于印度、台湾的",,X.有毒化学品环境管理放行通知单,,,,避免与氧化物接触。具有腐蚀性和刺激性，能引起烧伤。使用时应穿防护服。,"GHS05, GHS07, GHS08, GHS09",220.182709,,更多,4-nonylphenol,104-40-5,0.0±0.7 mmHg at 25°C,,P260-P280-P301 + P312 + P330-P303 + P361 + P353-P304 + P340 + P310-P305 + P351 + P338,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:13.氢键受体数量:14.可旋转化学键数量:85.互变异构体数量:26.拓扑分子极性表面积20.27.重原子数量:168.表面电荷:09.复杂度:14810.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,184.2±9.4 °C,,R22;R34;R52/53
,,,,,,,,,,,,,,,5.85560,20.23000,,,,,,,对十二烷基苯酚,4-十二烷基苯酚,,,,,,室温，存于惰性气体中,,C18H30O,1、 摩尔折射率：84.012、 摩尔体积（cm3/mol）：285.73、 等张比容（90.2K）：696.74、 表面张力（dyne/cm）：35.35、 极化率（10-24cm3）：33.30,262.43000,,,,C: Corrosive;,,,,,,,稻黄色的液体,26-36/37/39-45,0.94 g/mL at 25ºC(lit.),n20/D 1.503(lit.),,,1.沸点（ºC）：310~3352.闪点（ºC）：>230,,,,,310-335ºC(lit.),,,,,,,,,,,262.23000,,更多,4-Dodecylphenol,104-43-8,3.3E-06mmHg at 25°C,,,,,>230 °F,,R34
无,0,0,0,0,0,1,3,6,4,4,,17,0,330,,112.93000,,,,,,,,甘铋胂,,,,,,,,C8H9AsBiNO6,,499.06200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.94500,,更多,[4-[(2-hydroxyacetyl)amino]phenyl]-oxobismuthanyloxyarsinic acid,116-49-4,,,,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:33.氢键受体数量:64.可旋转化学键数量:45.互变异构体数量:46.拓扑分子极性表面积1137.重原子数量:178.表面电荷:09.复杂度:33010.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,,,
6,0,0,0,0,0,1,1,1,4,3,,17,0,242,5.92,20.23000,SL3500000,2907199090 other monophenols VAT:17.0% Tax rebate rate:9.0% Supervision conditions:none MFN tariff:5.5% General tariff:30.0%,2,,,Eyeshields;Faceshields;full-face respirator (US);Gloves;multi-purpose combination respirator cartridge (US);type ABEK (EN14387) respirator filter,"2,4-二叔戊基苯|2,4-二特戊基苯酚|2,4-双(1,1-二甲基丙基)苯酚","2,4-二叔戊基苯酚",2907199090 其他一元酚. 增值税率:17.0% 退税率:9.0% 监管条件:无 最惠国关税:5.5% 普通关税:30.0%,,,,Warning,室温，干燥,,C16H26O,五、分子性质数据：1、 摩尔折射率：74.172、 摩尔体积（m3/mol）：254.23、 等张比容（90.2K）：597.94、 表面张力（dyne/cm）：30.55、 介电常数：6、 偶极距（10-24cm3）：7、 极化率：29.40,234.377,,I; II; III,H302-H319,Xn:Harmful;,NONH for all modes of transport,,,,,,透明至淡黄色半固体,S26-S37/39,0.9±0.1 g/cm3,1.495,,,1. 密度：0.9302. 折光率：1.506~1.5083. 闪点（℃）：1434. 熔点（℃）：25,,,,,285.1±0.0 °C at 760 mmHg,2907199090,25 °C(lit.),"品名, 成分含量, 用途",,,,,,,GHS07,234.198364,,更多,"2,4-Di-tert-pentylphenol",120-95-6,0.0±0.6 mmHg at 25°C,,P305 + P351 + P338,1.疏水参数计算参考值（XlogP）:62.氢键供体数量:13.氢键受体数量:14.可旋转化学键数量:45.互变异构体数量:36.拓扑分子极性表面积20.27.重原子数量:178.表面电荷:09.复杂度:24210.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,139.9±7.8 °C,,R22;R36/38
1.3,0,0,0,0,0,1,3,4,4,47,,15,0,218,1.66940,69.56000,,"2922509090. other amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:6.5%. General tariff:30.0%",,,,,"1-(3,4-二羟基苯基)-2-[(1-甲基乙基)氨基]乙酮|(3,4-二羟基苯基)[(异丙基氨基)甲基]酮|1-(3,4-二羟基苯基)-2-[(1-甲基乙基)氨基]-1-乙酮|1-(3,4-二羟基苯基)-2-(异丙基氨基)乙酮",异丙基肾上腺酮,2922509090. 其他氨基醇酚、氨基酸酚及其他含氧基氨基化合物. 增值税率:17.0%. 退税率:13.0%. 监管条件：AB. 最惠国关税:6.5%. 普通关税:30.0%,,,,,,,C11H15NO3,1、 摩尔折射率：57.492、 摩尔体积（cm3/mol）：176.53、 等张比容（90.2K）：467.14、 表面张力（dyne/cm）：49.05、 极化率（10-24cm3）：22.79,209.24200,,,,,,,,,,,,,1.185g/cm3,1.564,,,1.性状：黄色结晶。,R.进口食品卫生监督检验 S.出口食品卫生监督检验,,,,409.7ºC at 760mmHg,2922509090,96ºC,"品名, 成分含量, 用途, 乙醇胺及其盐应报明色度, 乙醇胺及其盐应报明包装",,A.入境货物通关单 B.出境货物通关单,,,,,,209.10500,,更多,"1-(3,4-dihydroxyphenyl)-2-(propan-2-ylamino)ethanone",121-28-8,2.69E-07mmHg at 25°C,,,1.疏水参数计算参考值（XlogP）:1.32.氢键供体数量:33.氢键受体数量:44.可旋转化学键数量:45.互变异构体数量:476.拓扑分子极性表面积69.67.重原子数量:158.表面电荷:09.复杂度:21810.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,201.6ºC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121-53-9,,,,,,,,
2.6,0,0,0,0,0,1,0,2,0,无,21.6,15,0,251,2.97850,21.59000,,2934999090. other heterocyclic compounds. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:6.5%. General tariff:20.0%,,,,,,"二苯并[b,f][1,4]噁唑频",2934999090. 其他杂环化合物. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:6.5%. 普通关税:20.0%,,,,,"库房低温通风干燥,密闭,与食品原料分开存放",,C13H9NO,,195.21700,,,,,,,,,,,,,1.16g/cm3,1.625,,,,,,,,329.3ºC at 760mmHg,2934999090,,"品名, 成分含量, 用途",,,,,,,,195.06800,,更多,"benzo[b][1,4]benzoxazepine",257-07-8,0.000342mmHg at 25°C,,,1.疏水参数计算参考值（XlogP）:2.62.氢键供体数量:03.氢键受体数量:24.可旋转化学键数量:05.互变异构体数量:无6.拓扑分子极性表面积:21.67.重原子数量:158.表面电荷:09.复杂度:25110.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,125ºC,,
