药物名称,熔点,沸点,闪点,密度,水溶解性,外观性状,LogP,PSA,可旋转化学键数量,氢键受体数量,氢键供体数量,重原子数量,环数,拓扑分子极性表面积（TPSA）
102-17-0,,374.8ºC at 760mmHg,157.2ºC,1.129g/cm3,organic solvents: soluble(lit.),液体,2.98110,35.53000,6,3,0,19,,35.5
102-41-0,156-159 °C(Press: 10 Torr),302.5ºC at 760mmHg,146.6ºC,1.086g/cm3,,,1.47220,32.26000,,,,,,
103-00-4,,275.4ºC at 760mmHg,107.1ºC,0.95g/cm3,,,1.68040,32.26000,,,,,,
104-40-5,43-44°C,330.6±11.0 °C at 760 mmHg,184.2±9.4 °C,0.9±0.1 g/cm3,,黏的无色液体带有一种像酚一样的气味,6.19,20.23000,,,,,,
104-43-8,,310-335ºC(lit.),>230 °F,0.94 g/mL at 25ºC(lit.),,稻黄色的液体,5.85560,20.23000,,,,,,
116-49-4,,,,,,,,112.93000,,,,,,
120-95-6,25 °C(lit.),285.1±0.0 °C at 760 mmHg,139.9±7.8 °C,0.9±0.1 g/cm3,,透明至淡黄色半固体,5.92,20.23000,,,,,,
121-28-8,96ºC,409.7ºC at 760mmHg,201.6ºC,1.185g/cm3,,,1.66940,69.56000,,,,,,
121-53-9,,,,,,,,,,,,,,
257-07-8,,329.3ºC at 760mmHg,125ºC,1.16g/cm3,,,2.97850,21.59000,,,,,,
295-14-7,,300.5ºC at 760mmHg,139.7ºC,0.867g/cm3,,,0.06370,48.12000,,,,,,
295-64-7,100-102ºC,342.6±10.0 °C at 760 mmHg,167.8±14.1 °C,0.9±0.1 g/cm3,,,-2.93,60.15000,,,,,,
296-35-5,147-152ºC,449.8±40.0 °C at 760 mmHg,243.9±22.4 °C,0.9±0.1 g/cm3,,,-3.51,72.18000,,,,,,
304-06-3,186ºC,393.1ºC at 760 mmHg,205.7ºC,1.292g/cm3,,,2.75740,57.53000,,,,,,
355-04-4,<-150ºC,59.7±8.0 °C at 760 mmHg,2.1±10.2 °C,1.7±0.1 g/cm3,,透明无色液体,5.44,,,,,,,
356-86-5,49-50°C,50 °C100 mm Hg(lit.),73 °F,1.32 g/mL at 25 °C(lit.),,液体,1.91320,26.30000,,,,,,
359-71-7,,42.2ºC at 760 mmHg,,1.79g/cm3,,,3.85120,3.24000,,,,,,
387-27-9,,339ºC at 760mmHg,158.9ºC,1.53g/cm3,,,2.25540,77.70000,,,,,,
395-45-9,,145.2±0.0 °C at 760 mmHg,42.2±0.0 °C,1.2±0.1 g/cm3,,无色液体,3.67,,,,,,,
420-90-6,53-54°C,42.0±0.0 °C at 760 mmHg,-4.6±25.9 °C,1.6±0.1 g/cm3,,,1.93,,,,,,,
431-40-3,,96.3ºC at 760mmHg,12ºC,1.32g/cm3,,,1.39880,32.59000,,,,,,
444-38-2,,137.5ºC at 760 mmHg,56.9ºC,1.567g/cm3,,,5.39640,,,,,,,
446-20-8,142.5-143.5 °C,355.4±37.0 °C at 760 mmHg,168.7±26.5 °C,1.4±0.1 g/cm3,,,2.14,81.07000,,,,,,
478-08-0,330ºC,585.0±29.0 °C at 760 mmHg,321.6±20.8 °C,1.6±0.1 g/cm3,,,2.79,94.83000,,,,,,
500-38-9,184-189ºC,526.5±45.0 °C at 760 mmHg,247.8±23.3 °C,1.2±0.1 g/cm3,slightly soluble,白色至灰白色粉末,3.71,80.92000,5,4,4,22,,80.9
504-33-6,273 °C,,,1.6±0.1 g/cm3,,白色结晶粉末,-2.26,126.07000,,,,,,
504-96-1,,344.5ºC at 760mmHg,160.2ºC,0.796g/cm3,,,7.16770,,,,,,,
505-95-3,85-88ºC(lit.),359.2ºC at 760 mmHg,185.2ºC,0.988g/cm3,,白色至灰白色粉末,2.96430,57.53000,,,,,,
506-51-4,75-77 °C,394.5±5.0 °C at 760 mmHg,141.7±5.2 °C,0.8±0.1 g/cm3,水溶性：不溶,固体;White to Light yellow powder to crystal,11.50,20.23000,,,,,,
51-24-1,181.5ºC,531.6±50.0 °C at 760 mmHg,275.3±30.1 °C,2.5±0.1 g/cm3,,,5.47,66.76000,,,,,,
51-57-0,,,,,,,,,,,,,,
529-84-0,274-276 °C(lit.),455.5±45.0 °C at 760 mmHg,190.8±22.2 °C,1.5±0.1 g/cm3,DMF: soluble,黄色针状晶体,2.08,70.67000,,,,,,
53-89-4,,500.5ºC at 760 mmHg,256.5ºC,1.176g/cm3,,,3.63880,41.03000,,,,,,
538-03-4,,,,,,,1.14510,63.32000,,,,,,
543-80-6,450ºC,117.1ºC at 760 mmHg,40ºC,2.46,soluble | 不同温度(℃)时每100毫升水中的溶解克数: 58.8g/0℃;62g/10℃;72g/20℃;75g/30℃;78.5g/40℃ 75g/60℃;74g/80℃;74.8g/100℃,白色固体,0.09090,37.30000,0,4,0,9,,80.3
548-62-9,215ºC,,40ºC,1.19 g/cm3 (20ºC),,暗绿色粉末或晶体,1.46360,9.49000,,,,,,
564-35-2,,476.8±45.0 °C at 760 mmHg,256.3±25.2 °C,1.2±0.1 g/cm3,,,1.67,54.37000,,,,,,
565-63-9,44ºC,198.5±0.0 °C at 760 mmHg,95.9±9.6 °C,1.0±0.1 g/cm3,,淡黄色结晶固体,1.35,37.30000,1,2,1,7,,37.3
579-58-8,,,,,,,,,,,,,,
58-58-2,168-170℃,,,1.5±0.1 g/cm3,H2O: soluble50mg/mL (Sterilize stock solution by filtration using 0.22 μm filter then store in aliquots at 20 °C.) | Soluble in water,白色粉末,0.93,160.88000,,,,,,
580-74-5,,,,,,,2.77980,40.46000,,,,,,
602-99-3,,,,,,,,,,,,,,
610-60-6,,385.6ºC at 760 mmHg,193.8ºC,1.215g/cm3,,,2.69240,52.60000,,,,,,
610-90-2,,493.3ºC at 760mmHg,266.3ºC,1.749g/cm3,,,0.50160,97.99000,,,,,,
613-70-7,,238.6±0.0 °C at 760 mmHg,78.4±14.4 °C,1.1±0.1 g/cm3,,,1.38,35.53000,,,,,,
616-42-2,,126.0±0.0 °C at 760 mmHg,41.1±0.0 °C,1.3±0.1 g/cm3,soluble,透明无色液体,-0.43,54.74000,,,,,,
616-55-7,50-52ºC,269.0±0.0 °C at 760 mmHg,123.0±8.4 °C,0.9±0.1 g/cm3,,,5.32,20.23000,,,,,,
621-98-7,,430.4ºC at 760 mmHg,188.6ºC,1.068g/cm3,,,4.59910,17.07000,,,,,,
628-62-6,96 °C,254ºC at 760 mmHg,110.9ºC,0.891g/cm3,,,2.14240,43.09000,,,,,,
629-25-4,43.8ºC,296.1ºC at 760 mmHg,134.1ºC,1.102 g/cm3,,略黄色粉末,2.65720,40.13000,,,,,,
629-93-6,33-35 °C(lit.),194-197 °C2 mm Hg(lit.),110 °C,1.104 g/cm3,,淡黄色结晶,7.68290,,,,,,,
645-62-5,,175ºC,68ºC,0.85 g/cm3,,无色液体带有一种强烈的气味,2.32180,17.07000,4,1,0,9,,17.1
660-49-1,,279.5±25.0 °C at 760 mmHg,122.8±23.2 °C,2.0±0.1 g/cm3,,,3.20,26.02000,,,,,,
691-38-3,-134.4ºC,57-58ºC(lit.),-28 °F,0.686 g/mL at 20ºC(lit.),,液体;Colorless to Almost colorless clear liquid,2.21850,,,,,,,
696-22-0,236-240ºC,388.8ºC at 760 mmHg,188.9ºC,1.404 g/cm3,,,0.41630,65.98000,,,,,,
696-74-2,139-140ºC,305.8ºC at 760 mmHg,153ºC,1.673g/cm3,,,,74.60000,,,,,,
696-80-0,,220.3ºC at 760 mmHg,87ºC,1.293g/cm3,,,1.06320,25.78000,,,,,,
705-02-2,,297.6ºC at 760 mmHg,133.8ºC,1.36g/cm3,,,2.00240,62.60000,,,,,,
705-95-3,,227.1ºC at 760 mmHg,103.2ºC,1.036g/cm3,,,2.29590,26.30000,,,,,,
