CAS,refid,ref,hcdat_raw
58068-80-7,536136,"Wedler, Christine; Kleiner, Katharina; Kunath, Annamarie; Schick, Hans Liebigs Annales, 1996 , # 6 p. 881 - 885","[{""casId"": ""95-14-7"", ""ZWM"": ""苯并三氮唑"", ""img"": ""https://image.chemsrc.com/caspic/394/95-14-7.png"", ""href"": ""/cas/95-14-7_402923.html""}, {""casId"": ""111-64-8"", ""ZWM"": ""辛酰氯"", ""img"": ""https://image.chemsrc.com/caspic/385/111-64-8.png"", ""href"": ""/cas/111-64-8_312976.html""}, {""casId"": """", ""ZWM"": ""~85%"", ""img"": """", ""href"": """"}, {""casId"": ""58068-80-7"", ""ZWM"": ""n-辛酰苯并三唑"", ""img"": ""https://image.chemsrc.com/caspic/456/58068-80-7.png"", ""href"": ""/cas/58068-80-7_3.html""}]"
58068-80-7,11624,"Katritzky, Alan R.; Moutou, Jean-Luc; Yang, Zhijun Organic Preparations and Procedures International, 1995 , vol. 27, # 3 p. 361 - 366","[{""casId"": ""463-58-1"", ""ZWM"": ""羰基硫"", ""img"": ""https://image.chemsrc.com/caspic/255/463-58-1.png"", ""href"": ""/cas/463-58-1_670895.html""}, {""casId"": ""13125-66-1"", ""ZWM"": ""庚基溴化镁"", ""img"": ""https://image.chemsrc.com/caspic/035/13125-66-1.png"", ""href"": ""/cas/13125-66-1_1097502.html""}, {""casId"": ""117632-84-5"", ""ZWM"": ""1-(三氟甲烷磺酰基)-1H-苯并三唑"", ""img"": ""https://image.chemsrc.com/caspic/079/117632-84-5.png"", ""href"": ""/cas/117632-84-5_1167622.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""58068-80-7"", ""ZWM"": ""n-辛酰苯并三唑"", ""img"": ""https://image.chemsrc.com/caspic/456/58068-80-7.png"", ""href"": ""/cas/58068-80-7_3.html""}]"
92878-95-0,0,"Mutai, Kiyoshi; Kobayashi, Keiji; Yokoyama, Kenji Tetrahedron, 1984 , vol. 40, # 10 p. 1755 - 1760","[{""casId"": ""636-93-1"", ""ZWM"": ""5-硝基愈创木酚"", ""img"": ""https://image.chemsrc.com/caspic/194/636-93-1.png"", ""href"": ""/cas/636-93-1_171660.html""}, {""casId"": ""109-70-6"", ""ZWM"": ""1-溴-3-氯丙烷"", ""img"": ""https://image.chemsrc.com/caspic/357/109-70-6.png"", ""href"": ""/cas/109-70-6_1153467.html""}, {""casId"": """", ""ZWM"": ""~67%"", ""img"": """", ""href"": """"}, {""casId"": ""92878-95-0"", ""ZWM"": ""2-(3-氯丙氧基)-1-甲氧基-4-硝基苯"", ""img"": ""https://image.chemsrc.com/caspic/388/92878-95-0.png"", ""href"": ""/cas/92878-95-0_6.html""}]"
92878-95-0,0,"US2005/43537 A1, ; Page/Page column 3; 6-7 ;","[{""casId"": ""632-02-0"", ""ZWM"": ""3-氯丙基 4-甲基苯磺酸酯"", ""img"": ""https://image.chemsrc.com/caspic/009/632-02-0.png"", ""href"": ""/cas/632-02-0_152725.html""}, {""casId"": ""636-93-1"", ""ZWM"": ""5-硝基愈创木酚"", ""img"": ""https://image.chemsrc.com/caspic/194/636-93-1.png"", ""href"": ""/cas/636-93-1_171660.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""92878-95-0"", ""ZWM"": ""2-(3-氯丙氧基)-1-甲氧基-4-硝基苯"", ""img"": ""https://image.chemsrc.com/caspic/388/92878-95-0.png"", ""href"": ""/cas/92878-95-0_6.html""}]"
69099-99-6,376323,"Mittapalli, Gopi Kumar; Osornio, Yazmin M.; Guerrero, Miguel A.; Reddy, Kondreddi Ravinder; Krishnamurthy, Ramanarayanan; Eschenmoser, Albert Angewandte Chemie - International Edition, 2007 , vol. 46, # 14 p. 2478 - 2484","[{""casId"": ""71-30-7"", ""ZWM"": ""胞嘧啶"", ""img"": ""https://image.chemsrc.com/caspic/166/71-30-7.png"", ""href"": ""/cas/71-30-7_1154324.html""}, {""casId"": """", ""ZWM"": ""~90%"", ""img"": """", ""href"": """"}, {""casId"": ""69099-99-6"", ""ZWM"": ""6-氨基-5-硝基-2(1h)-嘧啶"", ""img"": ""https://image.chemsrc.com/caspic/121/69099-99-6.png"", ""href"": ""/cas/69099-99-6_8.html""}]"
69099-99-6,0,"Johnson; Johns; Heyl American Chemical Journal, 1906 , vol. 36, p. 176","[{""casId"": ""54308-63-3"", ""ZWM"": ""2-(乙基硫代)嘧啶-4-胺"", ""img"": ""https://image.chemsrc.com/caspic/432/54308-63-3.png"", ""href"": ""/cas/54308-63-3_683075.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""69099-99-6"", ""ZWM"": ""6-氨基-5-硝基-2(1h)-嘧啶"", ""img"": ""https://image.chemsrc.com/caspic/121/69099-99-6.png"", ""href"": ""/cas/69099-99-6_8.html""}]"
69099-99-6,0,"Brown Journal of the Chemical Society, 1959 , p. 3647","[{""casId"": ""99968-75-9"", ""ZWM"": ""2-ethoxy-5-nitro-3H-pyrimidin-4-one"", ""img"": ""https://image.chemsrc.com/caspic/116/99968-75-9.png"", ""href"": ""/cas/99968-75-9_1226576.html""}, {""casId"": """", ""ZWM"": ""~%"", ""img"": """", ""href"": """"}, {""casId"": ""69099-99-6"", ""ZWM"": ""6-氨基-5-硝基-2(1h)-嘧啶"", ""img"": ""https://image.chemsrc.com/caspic/121/69099-99-6.png"", ""href"": ""/cas/69099-99-6_8.html""}]"
704911-47-7,284960,"Zhu, Ruizhi; Qu, Fanqi; Quelever, Gilles; Peng, Ling Tetrahedron Letters, 2007 , vol. 48, # 13 p. 2389 - 2393","[{""casId"": ""3641-14-3"", ""ZWM"": ""5-氨基-4H-[1,2,4]-三唑-3-羧酸甲酯"", ""img"": ""https://image.chemsrc.com/caspic/358/3641-14-3.png"", ""href"": ""/cas/3641-14-3_1082992.html""}, {""casId"": """", ""ZWM"": ""~63%"", ""img"": """", ""href"": """"}, {""casId"": ""704911-47-7"", ""ZWM"": ""5-溴-1,2,4-三唑-3-甲酸甲酯"", ""img"": ""https://image.chemsrc.com/caspic/032/704911-47-7.png"", ""href"": ""/cas/704911-47-7_10.html""}]"
704911-47-7,84665,"Konstantinova; Chudinov; Fateev; Matveev; Zhurilo; Shvets; Miroshnikov Russian Journal of Bioorganic Chemistry, 2013 , vol. 39, # 1 p. 53 - 71 Bioorganicheskaya Khimiya, 2013 , vol. 39, # 1 p. 61 - 80,20","[{""casId"": ""67-56-1"", ""ZWM"": ""甲醇"", ""img"": ""https://image.chemsrc.com/caspic/233/67-56-1.png"", ""href"": ""/cas/67-56-1_757878.html""}, {""casId"": ""674287-63-9"", ""ZWM"": ""5-溴-1,2,4-三唑-3-甲酸"", ""img"": ""https://image.chemsrc.com/caspic/016/674287-63-9.png"", ""href"": ""/cas/674287-63-9_167264.html""}, {""casId"": """", ""ZWM"": ""~79%"", ""img"": """", ""href"": """"}, {""casId"": ""704911-47-7"", ""ZWM"": ""5-溴-1,2,4-三唑-3-甲酸甲酯"", ""img"": ""https://image.chemsrc.com/caspic/032/704911-47-7.png"", ""href"": ""/cas/704911-47-7_10.html""}]"
62484-16-6,311185,"Okano, Masahiko; Mito, Jun; Maruyama, Yasufumi; Masuda, Hirofumi; Niwa, Tomoko; Nakagawa, Shin-ichiro; Nakamura, Yoshitaka; Matsuura, Akira Bioorganic and Medicinal Chemistry, 2009 , vol. 17, # 1 p. 119 - 132","[{""casId"": ""590-28-3"", ""ZWM"": ""氰酸钾"", ""img"": ""https://image.chemsrc.com/caspic/013/590-28-3.png"", ""href"": ""/cas/590-28-3_509771.html""}, {""casId"": ""2941-78-8"", ""ZWM"": ""2-氨基-5-甲基苯甲酸"", ""img"": ""https://image.chemsrc.com/caspic/125/2941-78-8.png"", ""href"": ""/cas/2941-78-8_1195456.html""}, {""casId"": """", ""ZWM"": ""~87%"", ""img"": """", ""href"": """"}, {""casId"": ""62484-16-6"", ""ZWM"": ""6-甲基喹唑啉-2,4-二酮"", ""img"": ""https://image.chemsrc.com/caspic/075/62484-16-6.png"", ""href"": ""/cas/62484-16-6_17.html""}]"
