active_ingredients,company,dosage_from_route,drug_application_no,drug_name,drug_type,last_updated,marketing_status,rld,rs,strength,te_code,website_info_urls,cid,smiles
GALLIUM GA-68 GOZETOTIDE,TELIX,POWDER;INTRAVENOUS,214032,ILLUCCIX,NDA,20250915_095622,Prescription,Yes,Yes,,,,154572876.0,[H+].C1=CC(=C(C=C1CCC(=O)NCCCCCC(=O)NCCCCC(C(=O)O)NC(=O)NC(CCC(=O)O)C(=O)O)CN(CCN(CC2=C(C=CC(=C2)CCC(=O)O)[O-])CC(=O)[O-])CC(=O)[O-])[O-].[Ga+3]
RILUZOLE,ITALFARMACO SA,SUSPENSION;ORAL,209080,TIGLUTIK KIT,NDA,20250915_095624,Prescription,Yes,Yes,50MG/10ML,AB,,5070.0,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N
RILUZOLE,COVIS,TABLET;ORAL,20599,RILUTEK,NDA,20250915_095625,Discontinued,Yes,No,50MG,,,5070.0,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)N
POTASSIUM CHLORIDE,MACLEODS PHARMS LTD,SOLUTION;ORAL,218733,POTASSIUM CHLORIDE,ANDA,20250915_095626,Prescription,No,No,20MEQ/15ML,AA,,4873.0,[Cl-].[K+]
POTASSIUM CHLORIDE,MACLEODS PHARMS LTD,SOLUTION;ORAL,218733,POTASSIUM CHLORIDE,ANDA,20250915_095626,Prescription,No,No,40MEQ/15ML,AA,,4873.0,[Cl-].[K+]
SELUMETINIB SULFATE,ASTRAZENECA,CAPSULE;ORAL,213756,KOSELUGO,NDA,20250915_095628,Prescription,Yes,No,EQ 10MG BASE,,,10127622.0,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO
SELUMETINIB SULFATE,ASTRAZENECA,CAPSULE;ORAL,213756,KOSELUGO,NDA,20250915_095628,Prescription,Yes,Yes,EQ 25MG BASE,,,10127622.0,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO
CABOZANTINIB S-MALATE,EXELIXIS INC,TABLET;ORAL,208692,CABOMETYX,NDA,20250915_095629,Prescription,Yes,No,EQ 20MG BASE,,,25102846.0,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F.C(C(C(=O)O)O)C(=O)O
CABOZANTINIB S-MALATE,EXELIXIS INC,TABLET;ORAL,208692,CABOMETYX,NDA,20250915_095629,Prescription,Yes,No,EQ 40MG BASE,,,25102846.0,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F.C(C(C(=O)O)O)C(=O)O
CABOZANTINIB S-MALATE,EXELIXIS INC,TABLET;ORAL,208692,CABOMETYX,NDA,20250915_095629,Prescription,Yes,Yes,EQ 60MG BASE,,,25102846.0,COC1=CC2=C(C=CN=C2C=C1OC)OC3=CC=C(C=C3)NC(=O)C4(CC4)C(=O)NC5=CC=C(C=C5)F.C(C(C(=O)O)O)C(=O)O
SODIUM OXYBATE,AMNEAL,SOLUTION;ORAL,203631,SODIUM OXYBATE,ANDA,20250915_095630,Prescription,No,No,0.5GM/ML,AA,,23663870.0,C(CC(=O)[O-])CO.[Na+]
MEFENAMIC ACID,LUPIN LTD,CAPSULE;ORAL,91322,MEFENAMIC ACID,ANDA,20250915_095630,Prescription,No,No,250MG,AB,,4044.0,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)O)C
MILNACIPRAN HYDROCHLORIDE,ABBVIE,TABLET;ORAL,22256,SAVELLA,NDA,20250915_095631,Prescription,Yes,No,12.5MG,AB,,163701.0,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2.Cl
MILNACIPRAN HYDROCHLORIDE,ABBVIE,TABLET;ORAL,22256,SAVELLA,NDA,20250915_095631,Prescription,Yes,No,25MG,AB,,163701.0,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2.Cl
MILNACIPRAN HYDROCHLORIDE,ABBVIE,TABLET;ORAL,22256,SAVELLA,NDA,20250915_095631,Prescription,Yes,Yes,50MG,AB,,163701.0,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2.Cl
MILNACIPRAN HYDROCHLORIDE,ABBVIE,TABLET;ORAL,22256,SAVELLA,NDA,20250915_095631,Prescription,Yes,No,100MG,AB,,163701.0,CCN(CC)C(=O)C1(CC1CN)C2=CC=CC=C2.Cl
LEUPROLIDE ACETATE,ABBVIE ENDOCRINE INC,INJECTABLE;INJECTION,20708,LUPRON DEPOT,NDA,20250915_095632,Prescription,Yes,Yes,11.25MG,,,657180.0,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6.CC(=O)O
TRETINOIN,BAUSCH,GEL;TOPICAL,20475,RETIN-A MICRO,NDA,20250915_095633,Prescription,Yes,Yes,0.1%,,,444795.0,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
TRETINOIN,BAUSCH,GEL;TOPICAL,20475,RETIN-A MICRO,NDA,20250915_095633,Prescription,Yes,Yes,0.04%,,,444795.0,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
