active_ingredients,company,dosage_from_route,drug_application_no,drug_name,drug_type,last_updated,marketing_status,rld,rs,strength,te_code,website_info_urls
GALLIUM GA-68 GOZETOTIDE,TELIX,POWDER;INTRAVENOUS,214032,ILLUCCIX,NDA,20250915_095622,Prescription,Yes,Yes,N/A,,
RILUZOLE,ITALFARMACO SA,SUSPENSION;ORAL,209080,TIGLUTIK KIT,NDA,20250915_095624,Prescription,Yes,Yes,50MG/10ML,AB,
RILUZOLE,COVIS,TABLET;ORAL,020599,RILUTEK,NDA,20250915_095625,Discontinued,Yes,No,50MG,,
POTASSIUM CHLORIDE,MACLEODS PHARMS LTD,SOLUTION;ORAL,218733,POTASSIUM CHLORIDE,ANDA,20250915_095626,Prescription,No,No,20MEQ/15ML,AA,
POTASSIUM CHLORIDE,MACLEODS PHARMS LTD,SOLUTION;ORAL,218733,POTASSIUM CHLORIDE,ANDA,20250915_095626,Prescription,No,No,40MEQ/15ML,AA,
SELUMETINIB SULFATE,ASTRAZENECA,CAPSULE;ORAL,213756,KOSELUGO,NDA,20250915_095628,Prescription,Yes,No,EQ 10MG BASE,,
SELUMETINIB SULFATE,ASTRAZENECA,CAPSULE;ORAL,213756,KOSELUGO,NDA,20250915_095628,Prescription,Yes,Yes,EQ 25MG BASE,,
CABOZANTINIB S-MALATE,EXELIXIS INC,TABLET;ORAL,208692,CABOMETYX,NDA,20250915_095629,Prescription,Yes,No,EQ 20MG BASE,,
CABOZANTINIB S-MALATE,EXELIXIS INC,TABLET;ORAL,208692,CABOMETYX,NDA,20250915_095629,Prescription,Yes,No,EQ 40MG BASE,,
CABOZANTINIB S-MALATE,EXELIXIS INC,TABLET;ORAL,208692,CABOMETYX,NDA,20250915_095629,Prescription,Yes,Yes,EQ 60MG BASE,,
SODIUM OXYBATE,AMNEAL,SOLUTION;ORAL,203631,SODIUM OXYBATE,ANDA,20250915_095630,Prescription,No,No,0.5GM/ML,AA,
MEFENAMIC ACID,LUPIN LTD,CAPSULE;ORAL,091322,MEFENAMIC ACID,ANDA,20250915_095630,Prescription,No,No,250MG,AB,
MILNACIPRAN HYDROCHLORIDE,ABBVIE,TABLET;ORAL,022256,SAVELLA,NDA,20250915_095631,Prescription,Yes,No,12.5MG,AB,
MILNACIPRAN HYDROCHLORIDE,ABBVIE,TABLET;ORAL,022256,SAVELLA,NDA,20250915_095631,Prescription,Yes,No,25MG,AB,
MILNACIPRAN HYDROCHLORIDE,ABBVIE,TABLET;ORAL,022256,SAVELLA,NDA,20250915_095631,Prescription,Yes,Yes,50MG,AB,
MILNACIPRAN HYDROCHLORIDE,ABBVIE,TABLET;ORAL,022256,SAVELLA,NDA,20250915_095631,Prescription,Yes,No,100MG,AB,
LEUPROLIDE ACETATE,ABBVIE ENDOCRINE INC,INJECTABLE;INJECTION,020708,LUPRON DEPOT,NDA,20250915_095632,Prescription,Yes,Yes,11.25MG,,
TRETINOIN,BAUSCH,GEL;TOPICAL,020475,RETIN-A MICRO,NDA,20250915_095633,Prescription,Yes,Yes,0.1%,,
TRETINOIN,BAUSCH,GEL;TOPICAL,020475,RETIN-A MICRO,NDA,20250915_095633,Prescription,Yes,Yes,0.04%,,
TRETINOIN,BAUSCH,GEL;TOPICAL,020475,RETIN-A-MICRO,NDA,20250915_095633,Prescription,Yes,Yes,0.08%,AB,
TRETINOIN,BAUSCH,GEL;TOPICAL,020475,RETIN-A-MICRO,NDA,20250915_095633,Prescription,Yes,Yes,0.06%,,
LEUPROLIDE ACETATE,ABBVIE ENDOCRINE INC,INJECTABLE;INJECTION,020011,LUPRON DEPOT,NDA,20250915_095634,Discontinued,Yes,No,3.75MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,,
LEUPROLIDE ACETATE,ABBVIE ENDOCRINE INC,INJECTABLE;INJECTION,020011,LUPRON DEPOT,NDA,20250915_095634,Prescription,Yes,Yes,3.75MG,,
LEUPROLIDE ACETATE,ABBVIE ENDOCRINE INC,INJECTABLE; INJECTION,019943,LUPRON DEPOT,NDA,20250915_095634,Prescription,No,No,3.75MG,,
GEMCITABINE,JANSSEN BIOTECH,SOLUTION;TOPICAL,219683,INLEXZO,NDA,20250915_095636,Prescription,No,No,225MG,,
IVERMECTIN,EPIC PHARMA LLC,TABLET;ORAL,218805,IVERMECTIN,ANDA,20250915_095637,Prescription,No,No,3MG,AB,
LOSARTAN POTASSIUM,APOTEX,TABLET;ORAL,218551,LOSARTAN POTASSIUM,ANDA,20250915_095638,Discontinued,No,No,25MG,,
LOSARTAN POTASSIUM,APOTEX,TABLET;ORAL,218551,LOSARTAN POTASSIUM,ANDA,20250915_095638,Discontinued,No,No,50MG,,
LOSARTAN POTASSIUM,APOTEX,TABLET;ORAL,218551,LOSARTAN POTASSIUM,ANDA,20250915_095638,Discontinued,No,No,100MG,,
LOSARTAN POTASSIUM,MSN,TABLET;ORAL,217396,LOSARTAN POTASSIUM,ANDA,20250915_095639,Prescription,No,No,25MG,AB,
