LEVOTHYROXINE SODIUM,23666112
CICLOPIROX,2749
BACLOFEN,2284
PHENOBARBITAL,4763
PROPRANOLOL HYDROCHLORIDE,62882
PHENTERMINE HYDROCHLORIDE,70969
PHENTERMINE HYDROCHLORIDE,70969
DEXTROAMPHETAMINE SULFATE,5825
TACROLIMUS,445643
BUPROPION HYDROCHLORIDE,62884
PIROXICAM,54676228
TACROLIMUS,445643
OXYCODONE HYDROCHLORIDE,5462350
BUPRENORPHINE HYDROCHLORIDE,3033050
HYDROCORTISONE,5754
DICLOFENAC SODIUM,5018304
CICLOPIROX OLAMINE,38911
AMMONIUM LACTATE,62358
ENZALUTAMIDE,15951529
ADAPALENE,60164
FLUOXETINE HYDROCHLORIDE,62857
CANDESARTAN CILEXETIL,2540
MIDODRINE HYDROCHLORIDE,18340
GABAPENTIN,3446
GABAPENTIN,3446
HYDRALAZINE HYDROCHLORIDE,9351
PREGABALIN,5486971
PREGABALIN,5486971
ATORVASTATIN CALCIUM TRIHYDRATE,656846
PHENOBARBITAL,4763
DULOXETINE HYDROCHLORIDE,60834
MICAFUNGIN SODIUM,23666118
MIRTAZAPINE,4205
MAGNESIUM OXIDE,14792
".ALPHA.-TOCOPHEROL ACETATE, DL-",2117
MIRABEGRON,9865528
.ALPHA.-TOCOPHEROL ACETATE,11305985
LABETALOL,3869
LABETALOL,3869
CLONIDINE HYDROCHLORIDE,20179
HALOPERIDOL,3559
HALOPERIDOL,3559
ACETAMINOPHEN,1983
MESALAMINE,4075
TEMAZEPAM,5391
MINOCYCLINE HYDROCHLORIDE,54685925
MINOCYCLINE HYDROCHLORIDE,54685925
METOPROLOL SUCCINATE,62937
TIZANIDINE HYDROCHLORIDE,114869
BUDESONIDE,5281004
BUSPIRONE HYDROCHLORIDE,36431
METHOTREXATE SODIUM,11329481
CLOBETASOL PROPIONATE,32798
DESONIDE,5311066
NYSTATIN,6433272
ORPHENADRINE CITRATE,83823
GUANFACINE HYDROCHLORIDE,71401
GUANFACINE HYDROCHLORIDE,71401
ESTRADIOL,5757
METHYLPHENIDATE HYDROCHLORIDE,9280
DICLOFENAC SODIUM,5018304
DANTROLENE SODIUM,6604100
AMPHETAMINE ASPARTATE MONOHYDRATE,71587816
AMPHETAMINE ASPARTATE MONOHYDRATE,71587816
TRIMIPRAMINE MALEATE,5282318
TRIMIPRAMINE MALEATE,5282318
CYPROHEPTADINE HYDROCHLORIDE,13770
AMLODIPINE BESYLATE,60496
BUPROPION HYDROCHLORIDE,62884
ICOSAPENT ETHYL,9831415
ICATIBANT ACETATE,6918172
POTASSIUM CITRATE,2735208
TRAMADOL HYDROCHLORIDE,63013
CHLORTHALIDONE,2732
DONEPEZIL HYDROCHLORIDE,5741
IPRATROPIUM BROMIDE,657308
CLINDAMYCIN PHOSPHATE,443385
"MENTHOL, UNSPECIFIED FORM",1254
METRONIDAZOLE,4173
CELECOXIB,2662
LORATADINE,3957
TRIFLUOPERAZINE HYDROCHLORIDE,66064
TRIFLUOPERAZINE HYDROCHLORIDE,66064
ESCITALOPRAM OXALATE,146571
SEVOFLURANE,5206
SULFACETAMIDE SODIUM,6419954
AMPHETAMINE ASPARTATE MONOHYDRATE,71587816
ETHACRYNIC ACID,3278
MUPIROCIN,446596
NICOTINE,89594
IVERMECTIN,6321424
TADALAFIL,110635
DESOXIMETASONE,5311067
TADALAFIL,110635
IBUPROFEN,3672
TADALAFIL,110635
SERTRALINE HYDROCHLORIDE,63009
TESTOSTERONE CYPIONATE,441404
ACETAMINOPHEN,1983
LEFLUNOMIDE,3899
