The Journal of Headache and Pain,103,https://thejournalofheadacheandpain.biomedcentral.com/counter/pdf/10.1186/s10194-024-01913-0.pdf,10.1186/s10194-024-01913-0
Current Pain and Headache Reports,58,,
CNS Drugs,41,https://link.springer.com/content/pdf/10.1007/s40263-024-01091-2.pdf,10.1007/s40263-024-01091-2
Reactions Weekly,40,,
Headache: The Journal of Head and Face Pain,37,,
Cephalalgia : an international journal of headache,33,,
Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,28,,
Inpharma Weekly,26,,
Current Treatment Options in Neurology,25,,
Drugs,16,,
"Schmerz (Berlin, Germany)",16,,
MMW Fortschritte der Medizin,15,,
Current Neurology and Neuroscience Reports,14,,
Erfolgreich gegen Kopfschmerzen und Migr?ne,13,,
PharmacoEconomics & Outcomes News,11,,
Kompendium der medikament?sen Schmerztherapie,10,,
European Journal of Clinical Pharmacology,10,,
Drugs & Therapy Perspectives,10,,
Schmerzmedizin,9,,
Journal of Neurology,9,,
Neurology,9,,
The Cleveland Clinic Manual of Headache Therapy,8,,
Management of Headache and Headache Medications,8,,
,8,,
Die Kopfschmerzen,7,,
Naunyn-Schmiedeberg&apos;s Archives of Pharmacology,7,,
Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,6,,
Pain,6,,
InFo Neurologie & Psychiatrie,6,,
Neuropsychiatric Disease and Treatment,6,,
Pain and Therapy,5,,
Der Nervenarzt,5,,
DGNeurologie,5,,
Pharmakologie und Toxikologie,5,,
PharmacoEconomics,5,,
CME,5,,
Der Internist,5,,
Klinische Neurologie,5,,
Neurologie,5,,
Clinical Pharmacokinetics,5,,
Drug Safety,5,,
Handbook of Headache,5,,
AAPS PharmSciTech,4,,
Advanced Headache Therapy,4,,
Kompendium der Psychiatrischen Pharmakotherapie,4,,
Praktische Arzneitherapie,4,,
Pharmaceutical Research,4,,
Clinical Therapeutics,4,,
Der Schmerz,4,,
NeuroTransmitter,3,,
Gyn?kologische Endokrinologie,3,,
Migraine,3,,
Clinical Drug Investigation,3,,
"Journal of neural transmission (Vienna, Austria : 1996)",3,,
Pharmacoepidemiology and Drug Safety,3,,
Therapeutic Innovation & Regulatory Science,3,,
Chronic Headache,3,,
Talanta,3,,
Expert Opinion on Pharmacotherapy,3,,
"An?sthesie, Intensivmedizin, Notfallmedizin, Schmerztherapie",3,,
Repetitorium Schmerztherapie,3,,
Pharmacological Management of Headaches,3,,
"Bundesgesundheitsblatt, Gesundheitsforschung, Gesundheitsschutz",3,,
Paediatric drugs,3,,
Pocket Guide,3,,
Kompendium der Pharmakologie,3,,
The AAPS Journal,3,,
Molecular Pain,3,,
Journal of Medicinal Chemistry,3,,
Journal of Pharmacokinetics and Pharmacodynamics,3,,
International Journal of Clinical Practice,3,,
Managing Your Headaches,3,,
Therapie innerer Krankheiten,3,,
Comprehensive Therapy,3,,
British Journal of Pharmacology,3,,
Disease Management and Health Outcomes,3,,
"Lancet (London, England)",3,,
The Canadian journal of neurological sciences. Le journal canadien des sciences neurologiques,3,,
Nucleic Acids Research,2,,
Neuroscience and Behavioral Physiology,2,,
InFo Neurologie + Psychiatrie,2,,
gyn?kologie + geburtshilfe,2,,
Nature reviews. Neurology,2,,
Chinese Journal of Integrative Medicine,2,,
Neurology and Therapy,2,,
American Journal of Therapeutics,2,,
Renal Pharmacotherapy,2,,
Advances in Therapy,2,,
Journal of Public Health,2,,
DNP - Der Neurologe & Psychiater,2,,
Arzneiverordnungs-Report 2018,2,,
Neurochemical Journal,2,,
Praxisbuch neurologische Pharmakotherapie,2,,
Arzneiverordnungs-Report 2017,2,,
"Internal medicine (Tokyo, Japan)",2,,
Orofacial Disorders,2,,
Analytical and Bioanalytical Chemistry,2,,
Schmerzpsychotherapie,2,,
International Journal of Pharmaceutics,2,,
Journal of Molecular Modeling,2,,
Journal of Chromatographic Science,2,,
Journal of molecular neuroscience : MN,2,,
Neuroscience in the 21st Century,2,,
Case-Based Diagnosis and Management of Headache Disorders,2,,
MMW - Fortschritte der Medizin,2,,
Neurobiology of Disease,2,,
Neuropharmacology,2,,
BMC Neurology,2,,
"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",2,,
Psychopraxis,2,,
Angewandte Schmerztherapie und Palliativmedizin,2,,
Nature Medicine,2,,
Science-Business eXchange,2,,
Migr?ne,2,,
Der Ophthalmologe : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft,2,,
Patient Preference and Adherence,2,,
PLoS ONE,2,,
Clinician&#x2019;s Manual on Treatment of Pediatric Migraine,2,,
